
1,Carlo Abate,Country,Championships,Entries,Points
241,Ron Flockhart, Ireland,0,15,1
242,Myron Fohr, Germany,0,1,0
243,Gregor Foitek,  Switzerland,0,8,10
244,George    Follmer, United States,0,2,0
245,George Fonder, Italy,0,231,275
246,Norberto    Fontana, United States,0,2,0
247,AsdrÃºbal Fontes Bayardo, Brazil,0,43,12
248,Carl Forberg, Brazil,"2    (1972, 1974)",149,281
249,Gene Force, Brazil,0,38,3
250,Franco Forini, East Germany,0,1,0
251,Philip Fotheringham-Parker, United States,0,6,8
252,A.J. Foyt, Netherlands,0,1,0
253,Giorgio    Francia, United Kingdom,0,14,5
254,Fred Wacker, United States,0,1,0
255,Don Freeland,  Switzerland,0,22,0
256,Heinz-Harald Frentzen, United States,0,13,5
257,Patrick Friesacher, United States,0,5,0
258,Joe Fry, Argentina,0,4,0
259,Paul FrÃ¨re, Uruguay,0,1,0
260,Hiroshi    Fushida, United States,0,3,0
261,Beppe    Gabbiani, United States,0,5,0
262,Bertrand    Gachot,  Switzerland,0,3,0
263,Patrick    Gaillard, United Kingdom,0,1,0
264,Divina Galica, United States,0,3,0
265,Nanni Galli, Italy,0,2,0
266,Fred Gamble, United States,0,5,0
267,Howden Ganley, United States,0,8,4
268,Giedo van der Garde, Germany,0,160,174
269,Frank Gardner, Austria,0,11,3
270,Billy Garrett, United Kingdom,0,1,0
271,Jo Gartner, Belgium,0,11,11
